Aircraft,Origin,Destination,Departure Time,Arrival Time,Flight Duration,Direct Passengers,Transfer Passengers,Total Passengers,Transfer Details,Load Factor,Flight Profit [€]
Turboprop #0,AMS,CDG,20:12,21:54,01:42,36,0,36,,1.0,290.1
Turboprop #0,CDG,AMS,21:54,23:36,01:42,36,0,36,,1.0,290.1
Turboprop #1,AMS,CDG,06:30,08:12,01:42,36,0,36,,1.0,290.1
Turboprop #1,CDG,AMS,08:12,09:54,01:42,36,0,36,,1.0,290.1
Turboprop #1,AMS,CDG,09:54,11:36,01:42,0,36,36,From: FRA(36),1.0,212.3
Turboprop #1,CDG,AMS,11:36,13:18,01:42,36,0,36,,1.0,290.1
Turboprop #1,AMS,LHR,13:18,14:54,01:36,5,31,36,From: CDG(31),1.0,334.2
Turboprop #1,LHR,AMS,14:54,16:30,01:36,36,0,36,,1.0,295.9
Turboprop #1,AMS,FRA,16:42,18:18,01:36,36,0,36,,1.0,296.7
Turboprop #1,FRA,AMS,18:18,19:54,01:36,36,0,36,,1.0,296.7
Turboprop #1,AMS,TXL,19:54,21:54,02:00,36,0,36,,1.0,236.6
Turboprop #1,TXL,AMS,21:54,23:54,02:00,36,0,36,,1.0,236.6
